site,indicator,y,lag_rain,lag_temp,term,coef,se,t,p,R2,R2_adj,BIC,n
S35629,Lead (50),log10 50_S29,0,0,rain_lag,0.005484954,0.00152123,3.605606005,0.000311425,-11.73534648,-15.46276496,115.8978952,54
S35629,Lead (50),log10 50_S29,0,0,temp_lag,0.297768094,0.06316562,4.714084882,2.43E-06,-11.73534648,-15.46276496,115.8978952,54
S35629,"Lead, Dissolved (52)",log10 52_S29,0,0,rain_lag,0.006201011,0.001286869,4.818682634,1.45E-06,-2.006136425,-2.885981233,103.9157132,54
S35629,"Lead, Dissolved (52)",log10 52_S29,0,0,temp_lag,0.239128295,0.053709698,4.452236813,8.50E-06,-2.006136425,-2.885981233,103.9157132,54
S35629,pH (61),log10 61_S29,0,3,rain_lag,0.001888394,0.00047955,3.937845845,8.22E-05,-99.62164402,-132.2556907,2.535556364,50
S35629,pH (61),log10 61_S29,0,3,temp_lag,0.02607931,0.008420519,3.097114404,0.001954144,-99.62164402,-132.2556907,2.535556364,50
S35629,"Cadmium, Dissolved (106)",log10 106_S29,0,0,rain_lag,0.002821566,0.000795578,3.546558972,0.000390297,-7.523124375,-10.01769736,42.42727173,54
S35629,"Cadmium, Dissolved (106)",log10 106_S29,0,0,temp_lag,0.148611869,0.028503434,5.213823358,1.85E-07,-7.523124375,-10.01769736,42.42727173,54
S35629,Cadmium (108),log10 108_S29,4,-7,rain_lag,0.002301301,0.000506208,4.546160041,5.46E-06,-2.356112454,-3.698557436,44.32765406,43
S35629,Cadmium (108),log10 108_S29,4,-7,temp_lag,0.06603399,0.007741266,8.530128014,1.46E-17,-2.356112454,-3.698557436,44.32765406,43
S35629,Sulphate as SO4 (183),log10 183_S29,-12,-12,rain_lag,0.004693098,0.001181164,3.973282785,7.09E-05,-12.08796961,-19.56680939,44.07867752,34
S35629,Sulphate as SO4 (183),log10 183_S29,-12,-12,temp_lag,0.078413846,0.013620014,5.757251584,8.55E-09,-12.08796961,-19.56680939,44.07867752,34
S35629,"Zinc, Dissolved (3408)",log10 3408_S29,4,0,rain_lag,0.004031285,0.001882544,2.141403256,0.032241533,-8.943281123,-12.16812905,167.529362,50
S35629,"Zinc, Dissolved (3408)",log10 3408_S29,4,0,temp_lag,0.550929324,0.094435181,5.833941547,5.41E-09,-8.943281123,-12.16812905,167.529362,50
S35629,Iron (6051),log10 6051_S29,0,8,rain_lag,0.006826513,0.001545804,4.41615584,1.00E-05,-27.25664573,-37.53178963,122.3568097,46
S35629,Iron (6051),log10 6051_S29,0,8,temp_lag,0.092737772,0.017401473,5.32930575,9.86E-08,-27.25664573,-37.53178963,122.3568097,46
S35629,"Copper, Dissolved (6450)",log10 6450_S29,0,-7,rain_lag,0.002503828,0.000772588,3.240831731,0.001191815,0.326594604,0.088922112,77.70261519,47
S35629,"Copper, Dissolved (6450)",log10 6450_S29,0,-7,temp_lag,0.0200616,0.009368522,2.141383707,0.032243108,0.326594604,0.088922112,77.70261519,47
S35629,Copper (6452),log10 6452_S29,-5,-7,rain_lag,0.000635783,0.000635498,1.000448552,0.317093484,-0.519439112,-1.05571174,44.03335417,47
S35629,Copper (6452),log10 6452_S29,-5,-7,temp_lag,0.048319728,0.010396154,4.647846593,3.35E-06,-0.519439112,-1.05571174,44.03335417,47
S35629,Zinc (6455),log10 6455_S29,4,-7,rain_lag,0.007844129,0.001472471,5.327186059,9.97E-08,-16.48508277,-23.47911588,136.8393682,43
S35629,Zinc (6455),log10 6455_S29,4,-7,temp_lag,0.19446585,0.023858857,8.150677537,3.62E-16,-16.48508277,-23.47911588,136.8393682,43
S35629,"Iron, Dissolved (6460)",log10 6460_S29,2,12,rain_lag,0.00532352,0.001526433,3.487556111,0.000487457,-21.55568085,-30.88906602,110.5074241,42
S35629,"Iron, Dissolved (6460)",log10 6460_S29,2,12,temp_lag,0.082499471,0.018967056,4.349619298,1.36E-05,-21.55568085,-30.88906602,110.5074241,42
S35636,"Lead, Dissolved (52)",log10 52_s36,0,9,rain_lag,0.005924183,0.001150952,5.147203561,2.64E-07,-2.159741431,-4.055586289,66.10028159,33
S35636,"Lead, Dissolved (52)",log10 52_s36,0,9,temp_lag,0.039529772,0.013225386,2.988931486,0.002799549,-2.159741431,-4.055586289,66.10028159,33
S35636,pH (61),log10 61_s36,0,-11,rain_lag,0.002792683,0.00037331,7.480858155,7.38E-14,-13.11938168,-23.08600403,-14.46681987,30
S35636,pH (61),log10 61_s36,0,-11,temp_lag,0.014167442,0.005748167,2.464688821,0.013713229,-13.11938168,-23.08600403,-14.46681987,30
S35636,"Cadmium, Dissolved (106)",log10 106_s36,1,1,rain_lag,0.001358432,0.000843304,1.610844671,0.107213582,0.299229313,-0.001100982,66.26132588,41
S35636,"Cadmium, Dissolved (106)",log10 106_s36,1,1,temp_lag,0.037983161,0.020619519,1.842097352,0.065460911,0.299229313,-0.001100982,66.26132588,41
S35636,Cadmium (108),log10 108_s36,5,0,rain_lag,0.002559012,0.001150416,2.224422868,0.026120007,0.159036018,-0.434585616,70.78581106,30
S35636,Cadmium (108),log10 108_s36,5,0,temp_lag,0.014271719,0.059198708,0.241081598,0.809491875,0.159036018,-0.434585616,70.78581106,30
S35636,"Zinc, Dissolved (3408)",log10 3408_s36,-11,0,rain_lag,0.002048244,0.000641546,3.192667389,0.001409652,-34.34460037,-57.90766728,76.93761313,31
S35636,"Zinc, Dissolved (3408)",log10 3408_s36,-11,0,temp_lag,0.348060111,0.072358195,4.810237589,1.51E-06,-34.34460037,-57.90766728,76.93761313,31
S35636,"Copper, Dissolved (6450)",log10 6450_s36,-7,0,rain_lag,-0.000342546,0.000582927,-0.58763055,0.5567803,0.281530603,-0.110361796,47.03846638,35
S35636,"Copper, Dissolved (6450)",log10 6450_s36,-7,0,temp_lag,0.098554823,0.050305117,1.959141097,0.050096265,0.281530603,-0.110361796,47.03846638,35
S35636,Copper (6452),log10 6452_s36,5,0,rain_lag,0.001928762,0.000796356,2.421985344,0.015435973,0.134557053,-0.47634385,52.4272061,30
S35636,Copper (6452),log10 6452_s36,5,0,temp_lag,0.049946783,0.043310965,1.153213349,0.248822826,0.134557053,-0.47634385,52.4272061,30
S35636,Zinc (6455),log10 6455_s36,-11,0,rain_lag,0.001567587,0.000677796,2.312772521,0.020735149,-45.05530786,-91.11061571,64.4969753,25
S35636,Zinc (6455),log10 6455_s36,-11,0,temp_lag,0.429130457,0.064234504,6.680684482,2.38E-11,-45.05530786,-91.11061571,64.4969753,25
Nenthead,Lead (50),log10 50_NE43200168,2,0,rain_lag,0.006126504,0.001207003,5.075798797,3.86E-07,-0.072642049,-0.174798435,276.4694713,139
Nenthead,Lead (50),log10 50_NE43200168,2,0,temp_lag,0.199152634,0.040973095,4.860570873,1.17E-06,-0.072642049,-0.174798435,276.4694713,139
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,rain_lag,0.005191298,0.00072113,7.198839843,6.07E-13,0.153091614,0.073068774,179.8917115,140
Nenthead,"Lead, Dissolved (52)",log10 52_NE43200168,0,0,temp_lag,0.098494521,0.026188117,3.761038696,0.000169209,0.153091614,0.073068774,179.8917115,140
Nenthead,pH (61),log10 61_NE43200168,3,3,rain_lag,0.001864536,0.00042459,4.391378088,1.13E-05,-129.0128707,-142.3475242,-74.48445383,130
Nenthead,pH (61),log10 61_NE43200168,3,3,temp_lag,0.050172855,0.007637552,6.569232994,5.06E-11,-129.0128707,-142.3475242,-74.48445383,130
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,rain_lag,0.001564237,0.000437028,3.579259544,0.000344569,-0.082275982,-0.186174477,48.40818106,138
Nenthead,"Cadmium, Dissolved (106)",log10 106_NE43200168,2,0,temp_lag,0.098750446,0.017439723,5.662385994,1.49E-08,-0.082275982,-0.186174477,48.40818106,138
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,rain_lag,0.001956904,0.000452863,4.321187557,1.55E-05,-0.0725212,-0.174666077,41.38038455,139
Nenthead,Cadmium (108),log10 108_NE43200168,2,0,temp_lag,0.105137856,0.018146194,5.793934385,6.88E-09,-0.0725212,-0.174666077,41.38038455,139
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,rain_lag,0.005641827,0.00125277,4.503480436,6.68E-06,-1.743871642,-2.013760656,205.567699,135
Nenthead,Sulphate as SO4 (183),log10 183_NE43200168,3,3,temp_lag,0.107171399,0.019025665,5.6329909,1.77E-08,-1.743871642,-2.013760656,205.567699,135
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,rain_lag,0.003674839,0.003944624,0.931606875,0.351539729,-0.045198721,-0.146346984,567.393878,137
Nenthead,"Zinc, Dissolved (3408)",log10 3408_NE43200168,2,3,temp_lag,0.167343556,0.054424955,3.074757822,0.002106735,-0.045198721,-0.146346984,567.393878,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,rain_lag,0.008765311,0.001394478,6.285728913,3.26E-10,-0.911811509,-1.096825526,307.671989,137
Nenthead,Iron (6051),log10 6051_NE43200168,2,0,temp_lag,0.280841158,0.055166184,5.090820811,3.57E-07,-0.911811509,-1.096825526,307.671989,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,rain_lag,0.004126709,0.002144314,1.924489308,0.05429328,0.081334233,-0.007568906,359.976221,137
Nenthead,"Copper, Dissolved (6450)",log10 6450_NE43200168,3,0,temp_lag,0.052262254,0.052790232,0.989998576,0.322174815,0.081334233,-0.007568906,359.976221,137
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,rain_lag,-0.001633262,0.001509747,-1.081812267,0.279335954,0.103902022,0.017876616,288.2028426,138
Nenthead,Copper (6452),log10 6452_NE43200168,3,2,temp_lag,0.055436638,0.030856515,1.796594288,0.072400052,0.103902022,0.017876616,288.2028426,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,rain_lag,0.003559409,0.003468446,1.026225836,0.304785146,-0.06109585,-0.162961052,547.7367318,138
Nenthead,Zinc (6455),log10 6455_NE43200168,2,3,temp_lag,0.188169771,0.050044448,3.760052878,0.000169877,-0.06109585,-0.162961052,547.7367318,138
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,rain_lag,0.00591064,0.001044301,5.659901787,1.51E-08,-0.395077474,-0.530084972,218.0498554,137
Nenthead,"Iron, Dissolved (6460)",log10 6460_NE43200168,3,3,temp_lag,0.09237939,0.016762125,5.51119797,3.56E-08,-0.395077474,-0.530084972,218.0498554,137
