date,rainfall_mm,site
Jan-05,137.8389834,S35629
Feb-05,109.1449001,S35629
Mar-05,78.44892634,S35629
Apr-05,116.5470934,S35629
May-05,62.37195369,S35629
Jun-05,79.12047981,S35629
Jul-05,83.46334651,S35629
Aug-05,73.78991438,S35629
Sep-05,104.9595076,S35629
Oct-05,211.1058993,S35629
Nov-05,204.536134,S35629
Dec-05,152.5698701,S35629
Jan-07,228.8498403,S35629
Feb-07,153.6838027,S35629
Mar-07,119.0114883,S35629
Apr-07,17.0884397,S35629
May-07,137.810726,S35629
Jun-07,178.6334648,S35629
Jul-07,231.8439222,S35629
Aug-07,72.88576768,S35629
Sep-07,106.0082073,S35629
Oct-07,62.41333475,S35629
Nov-07,95.3676137,S35629
Dec-07,214.2064767,S35629
Jan-08,282.4977912,S35629
Feb-08,83.84441812,S35629
Mar-08,178.2216768,S35629
Apr-08,96.03374796,S35629
May-08,53.22414522,S35629
Jun-08,95.27779316,S35629
Jul-08,147.6490228,S35629
Aug-08,180.7589398,S35629
Sep-08,157.5148401,S35629
Oct-08,251.7832687,S35629
Nov-08,159.6226395,S35629
Dec-08,111.1758287,S35629
Jan-09,170.5760209,S35629
Feb-09,29.96032613,S35629
Mar-09,81.73207973,S35629
Apr-09,75.01240597,S35629
May-09,121.9744585,S35629
Jun-09,72.91273882,S35629
Jul-09,235.7261104,S35629
Aug-09,94.61067387,S35629
Sep-09,63.61285042,S35629
Oct-09,132.0504867,S35629
Nov-09,367.4466492,S35629
Dec-09,169.5669831,S35629
Jan-10,108.1077066,S35629
Feb-10,64.99417006,S35629
Mar-10,101.3894282,S35629
Apr-10,52.60415726,S35629
May-10,60.17553903,S35629
Jun-10,46.36773863,S35629
Jul-10,176.8215553,S35629
Aug-10,89.07640962,S35629
Sep-10,163.215388,S35629
Oct-10,117.3081752,S35629
Nov-10,144.5815254,S35629
Dec-10,62.57366723,S35629
Jan-11,180.3492113,S35629
Feb-11,134.7823392,S35629
Mar-11,30.99264523,S35629
Apr-11,29.4852785,S35629
May-11,111.6179429,S35629
Jun-11,122.2045182,S35629
Jul-11,118.3711111,S35629
Aug-11,79.39853554,S35629
Sep-11,139.230853,S35629
Oct-11,140.9870127,S35629
Nov-11,98.53685464,S35629
Dec-11,275.1835525,S35629
Jan-12,170.9930094,S35629
Feb-12,82.04859168,S35629
Mar-12,32.61200638,S35629
Apr-12,169.3296003,S35629
May-12,77.97874767,S35629
Jun-12,275.3941992,S35629
Jul-12,134.5572691,S35629
Aug-12,161.4398508,S35629
Sep-12,137.4751596,S35629
Oct-12,164.8952343,S35629
Nov-12,175.2284924,S35629
Dec-12,312.5416945,S35629
Jan-22,88.71565209,S35629
Feb-22,249.5321709,S35629
Mar-22,53.72019595,S35629
Apr-22,64.62759974,S35629
May-22,72.67516163,S35629
Jun-22,80.3641363,S35629
Jul-22,70.89403661,S35629
Aug-22,34.82122562,S35629
Sep-22,144.4944835,S35629
Oct-22,186.8213261,S35629
Nov-22,196.474854,S35629
Dec-22,156.5368957,S35629
Jan-24,158.8873723,S35629
Feb-24,238.008082,S35629
Mar-24,157.8873872,S35629
Apr-24,146.9787078,S35629
May-24,95.41481388,S35629
Jun-24,62.53357372,S35629
Jul-24,94.3961979,S35629
Aug-24,103.9333447,S35629
Sep-24,159.6486592,S35629
Oct-24,126.7968202,S35629
Nov-24,140.7650594,S35629
Dec-24,255.1291648,S35629
Jan-05,137.8389834,S35630
Feb-05,109.1449001,S35630
Mar-05,78.44892634,S35630
Apr-05,116.5470934,S35630
May-05,62.37195369,S35630
Jun-05,79.12047981,S35630
Jul-05,83.46334651,S35630
Aug-05,73.78991438,S35630
Sep-05,104.9595076,S35630
Oct-05,211.1058993,S35630
Nov-05,204.536134,S35630
Dec-05,152.5698701,S35630
Jan-07,228.8498403,S35630
Feb-07,153.6838027,S35630
Mar-07,119.0114883,S35630
Apr-07,17.0884397,S35630
May-07,137.810726,S35630
Jun-07,178.6334648,S35630
Jul-07,231.8439222,S35630
Aug-07,72.88576768,S35630
Sep-07,106.0082073,S35630
Oct-07,62.41333475,S35630
Nov-07,95.3676137,S35630
Dec-07,214.2064767,S35630
Jan-08,282.4977912,S35630
Feb-08,83.84441812,S35630
Mar-08,178.2216768,S35630
Apr-08,96.03374796,S35630
May-08,53.22414522,S35630
Jun-08,95.27779316,S35630
Jul-08,147.6490228,S35630
Aug-08,180.7589398,S35630
Sep-08,157.5148401,S35630
Oct-08,251.7832687,S35630
Nov-08,159.6226395,S35630
Dec-08,111.1758287,S35630
Jan-09,170.5760209,S35630
Feb-09,29.96032613,S35630
Mar-09,81.73207973,S35630
Apr-09,75.01240597,S35630
May-09,121.9744585,S35630
Jun-09,72.91273882,S35630
Jul-09,235.7261104,S35630
Aug-09,94.61067387,S35630
Sep-09,63.61285042,S35630
Oct-09,132.0504867,S35630
Nov-09,367.4466492,S35630
Dec-09,169.5669831,S35630
Jan-10,108.1077066,S35630
Feb-10,64.99417006,S35630
Mar-10,101.3894282,S35630
Apr-10,52.60415726,S35630
May-10,60.17553903,S35630
Jun-10,46.36773863,S35630
Jul-10,176.8215553,S35630
Aug-10,89.07640962,S35630
Sep-10,163.215388,S35630
Oct-10,117.3081752,S35630
Nov-10,144.5815254,S35630
Dec-10,62.57366723,S35630
Jan-11,180.3492113,S35630
Feb-11,134.7823392,S35630
Mar-11,30.99264523,S35630
Apr-11,29.4852785,S35630
May-11,111.6179429,S35630
Jun-11,122.2045182,S35630
Jul-11,118.3711111,S35630
Aug-11,79.39853554,S35630
Sep-11,139.230853,S35630
Oct-11,140.9870127,S35630
Nov-11,98.53685464,S35630
Dec-11,275.1835525,S35630
Jan-12,170.9930094,S35630
Feb-12,82.04859168,S35630
Mar-12,32.61200638,S35630
Apr-12,169.3296003,S35630
May-12,77.97874767,S35630
Jun-12,275.3941992,S35630
Jul-12,134.5572691,S35630
Aug-12,161.4398508,S35630
Sep-12,137.4751596,S35630
Oct-12,164.8952343,S35630
Nov-12,175.2284924,S35630
Dec-12,312.5416945,S35630
Jan-22,88.71565209,S35630
Feb-22,249.5321709,S35630
Mar-22,53.72019595,S35630
Apr-22,64.62759974,S35630
May-22,72.67516163,S35630
Jun-22,80.3641363,S35630
Jul-22,70.89403661,S35630
Aug-22,34.82122562,S35630
Sep-22,144.4944835,S35630
Oct-22,186.8213261,S35630
Nov-22,196.474854,S35630
Dec-22,156.5368957,S35630
Jan-24,158.8873723,S35630
Feb-24,238.008082,S35630
Mar-24,157.8873872,S35630
Apr-24,146.9787078,S35630
May-24,95.41481388,S35630
Jun-24,62.53357372,S35630
Jul-24,94.3961979,S35630
Aug-24,103.9333447,S35630
Sep-24,159.6486592,S35630
Oct-24,126.7968202,S35630
Nov-24,140.7650594,S35630
Dec-24,255.1291648,S35630
Jan-05,137.8389834,S35631
Feb-05,109.1449001,S35631
Mar-05,78.44892634,S35631
Apr-05,116.5470934,S35631
May-05,62.37195369,S35631
Jun-05,79.12047981,S35631
Jul-05,83.46334651,S35631
Aug-05,73.78991438,S35631
Sep-05,104.9595076,S35631
Oct-05,211.1058993,S35631
Nov-05,204.536134,S35631
Dec-05,152.5698701,S35631
Jan-07,228.8498403,S35631
Feb-07,153.6838027,S35631
Mar-07,119.0114883,S35631
Apr-07,17.0884397,S35631
May-07,137.810726,S35631
Jun-07,178.6334648,S35631
Jul-07,231.8439222,S35631
Aug-07,72.88576768,S35631
Sep-07,106.0082073,S35631
Oct-07,62.41333475,S35631
Nov-07,95.3676137,S35631
Dec-07,214.2064767,S35631
Jan-08,282.4977912,S35631
Feb-08,83.84441812,S35631
Mar-08,178.2216768,S35631
Apr-08,96.03374796,S35631
May-08,53.22414522,S35631
Jun-08,95.27779316,S35631
Jul-08,147.6490228,S35631
Aug-08,180.7589398,S35631
Sep-08,157.5148401,S35631
Oct-08,251.7832687,S35631
Nov-08,159.6226395,S35631
Dec-08,111.1758287,S35631
Jan-09,170.5760209,S35631
Feb-09,29.96032613,S35631
Mar-09,81.73207973,S35631
Apr-09,75.01240597,S35631
May-09,121.9744585,S35631
Jun-09,72.91273882,S35631
Jul-09,235.7261104,S35631
Aug-09,94.61067387,S35631
Sep-09,63.61285042,S35631
Oct-09,132.0504867,S35631
Nov-09,367.4466492,S35631
Dec-09,169.5669831,S35631
Jan-10,108.1077066,S35631
Feb-10,64.99417006,S35631
Mar-10,101.3894282,S35631
Apr-10,52.60415726,S35631
May-10,60.17553903,S35631
Jun-10,46.36773863,S35631
Jul-10,176.8215553,S35631
Aug-10,89.07640962,S35631
Sep-10,163.215388,S35631
Oct-10,117.3081752,S35631
Nov-10,144.5815254,S35631
Dec-10,62.57366723,S35631
Jan-11,180.3492113,S35631
Feb-11,134.7823392,S35631
Mar-11,30.99264523,S35631
Apr-11,29.4852785,S35631
May-11,111.6179429,S35631
Jun-11,122.2045182,S35631
Jul-11,118.3711111,S35631
Aug-11,79.39853554,S35631
Sep-11,139.230853,S35631
Oct-11,140.9870127,S35631
Nov-11,98.53685464,S35631
Dec-11,275.1835525,S35631
Jan-12,170.9930094,S35631
Feb-12,82.04859168,S35631
Mar-12,32.61200638,S35631
Apr-12,169.3296003,S35631
May-12,77.97874767,S35631
Jun-12,275.3941992,S35631
Jul-12,134.5572691,S35631
Aug-12,161.4398508,S35631
Sep-12,137.4751596,S35631
Oct-12,164.8952343,S35631
Nov-12,175.2284924,S35631
Dec-12,312.5416945,S35631
Jan-22,88.71565209,S35631
Feb-22,249.5321709,S35631
Mar-22,53.72019595,S35631
Apr-22,64.62759974,S35631
May-22,72.67516163,S35631
Jun-22,80.3641363,S35631
Jul-22,70.89403661,S35631
Aug-22,34.82122562,S35631
Sep-22,144.4944835,S35631
Oct-22,186.8213261,S35631
Nov-22,196.474854,S35631
Dec-22,156.5368957,S35631
Jan-24,158.8873723,S35631
Feb-24,238.008082,S35631
Mar-24,157.8873872,S35631
Apr-24,146.9787078,S35631
May-24,95.41481388,S35631
Jun-24,62.53357372,S35631
Jul-24,94.3961979,S35631
Aug-24,103.9333447,S35631
Sep-24,159.6486592,S35631
Oct-24,126.7968202,S35631
Nov-24,140.7650594,S35631
Dec-24,255.1291648,S35631
Jan-05,137.8389834,S35636
Feb-05,109.1449001,S35636
Mar-05,78.44892634,S35636
Apr-05,116.5470934,S35636
May-05,62.37195369,S35636
Jun-05,79.12047981,S35636
Jul-05,83.46334651,S35636
Aug-05,73.78991438,S35636
Sep-05,104.9595076,S35636
Oct-05,211.1058993,S35636
Nov-05,204.536134,S35636
Dec-05,152.5698701,S35636
Jan-07,228.8498403,S35636
Feb-07,153.6838027,S35636
Mar-07,119.0114883,S35636
Apr-07,17.0884397,S35636
May-07,137.810726,S35636
Jun-07,178.6334648,S35636
Jul-07,231.8439222,S35636
Aug-07,72.88576768,S35636
Sep-07,106.0082073,S35636
Oct-07,62.41333475,S35636
Nov-07,95.3676137,S35636
Dec-07,214.2064767,S35636
Jan-08,282.4977912,S35636
Feb-08,83.84441812,S35636
Mar-08,178.2216768,S35636
Apr-08,96.03374796,S35636
May-08,53.22414522,S35636
Jun-08,95.27779316,S35636
Jul-08,147.6490228,S35636
Aug-08,180.7589398,S35636
Sep-08,157.5148401,S35636
Oct-08,251.7832687,S35636
Nov-08,159.6226395,S35636
Dec-08,111.1758287,S35636
Jan-09,170.5760209,S35636
Feb-09,29.96032613,S35636
Mar-09,81.73207973,S35636
Apr-09,75.01240597,S35636
May-09,121.9744585,S35636
Jun-09,72.91273882,S35636
Jul-09,235.7261104,S35636
Aug-09,94.61067387,S35636
Sep-09,63.61285042,S35636
Oct-09,132.0504867,S35636
Nov-09,367.4466492,S35636
Dec-09,169.5669831,S35636
Jan-10,108.1077066,S35636
Feb-10,64.99417006,S35636
Mar-10,101.3894282,S35636
Apr-10,52.60415726,S35636
May-10,60.17553903,S35636
Jun-10,46.36773863,S35636
Jul-10,176.8215553,S35636
Aug-10,89.07640962,S35636
Sep-10,163.215388,S35636
Oct-10,117.3081752,S35636
Nov-10,144.5815254,S35636
Dec-10,62.57366723,S35636
Jan-11,180.3492113,S35636
Feb-11,134.7823392,S35636
Mar-11,30.99264523,S35636
Apr-11,29.4852785,S35636
May-11,111.6179429,S35636
Jun-11,122.2045182,S35636
Jul-11,118.3711111,S35636
Aug-11,79.39853554,S35636
Sep-11,139.230853,S35636
Oct-11,140.9870127,S35636
Nov-11,98.53685464,S35636
Dec-11,275.1835525,S35636
Jan-12,170.9930094,S35636
Feb-12,82.04859168,S35636
Mar-12,32.61200638,S35636
Apr-12,169.3296003,S35636
May-12,77.97874767,S35636
Jun-12,275.3941992,S35636
Jul-12,134.5572691,S35636
Aug-12,161.4398508,S35636
Sep-12,137.4751596,S35636
Oct-12,164.8952343,S35636
Nov-12,175.2284924,S35636
Dec-12,312.5416945,S35636
Jan-22,88.71565209,S35636
Feb-22,249.5321709,S35636
Mar-22,53.72019595,S35636
Apr-22,64.62759974,S35636
May-22,72.67516163,S35636
Jun-22,80.3641363,S35636
Jul-22,70.89403661,S35636
Aug-22,34.82122562,S35636
Sep-22,144.4944835,S35636
Oct-22,186.8213261,S35636
Nov-22,196.474854,S35636
Dec-22,156.5368957,S35636
Jan-24,158.8873723,S35636
Feb-24,238.008082,S35636
Mar-24,157.8873872,S35636
Apr-24,146.9787078,S35636
May-24,95.41481388,S35636
Jun-24,62.53357372,S35636
Jul-24,94.3961979,S35636
Aug-24,103.9333447,S35636
Sep-24,159.6486592,S35636
Oct-24,126.7968202,S35636
Nov-24,140.7650594,S35636
Dec-24,255.1291648,S35636
